dist_from_home_km,dist_from_kl_km,LAUA,LAT,LONG,PCDS
2.957929377042983,35.756301664321,E09000030,51.504831,-0.069241,E1 9LH
2.934280769022565,35.86348412905686,E09000030,51.50493,-0.067061,E1 9LN
2.9317499002197676,35.833573465427,E09000030,51.504807,-0.067801,E1 9LP
2.8745823265068604,35.95096358460801,E09000030,51.504515999999995,-0.065969,E1 9LS
2.9057689023625155,35.93146121315788,E09000030,51.504804,-0.065942,E1 9LW
2.8112240430704047,35.97429409887643,E09000030,51.503885,-0.066399,E1 9LX
2.8464529934504057,35.968552552507916,E09000030,51.504256,-0.06599400000000001,E1 9LY
2.8395029263868143,36.052121282437305,E09000030,51.504371,-0.064246,E1 9NA
2.658965167028605,36.429481596688085,E09000030,51.502998,-0.058973000000000005,E1 9NE
2.847975433864334,36.38148477063744,E09000030,51.504692,-0.057575,E1 9NF
2.999604823962823,35.99023442027092,E09000030,51.505894,-0.063331,E1 9NG
2.7764549079242067,36.504370196607475,E09000030,51.504013,-0.056177,E1 9NH
2.9353395024411038,36.40448139237847,E09000030,51.505441999999995,-0.05613099999999999,E1 9NJ
2.906340419955942,36.389089650761036,E09000030,51.5052,-0.056746000000000005,E1 9NL
2.958935511626175,36.38017858522135,E09000030,51.50566,-0.056295000000000005,E1 9NN
2.9381893024483037,36.45773215111313,E09000030,51.505426,-0.055152,E1 9NQ
2.8791863053434925,36.39258782531609,E09000030,51.504962,-0.057000999999999996,E1 9NR
2.8630344233189255,36.389297462196105,E09000030,51.504822,-0.057252,E1 9NS
2.769469265536649,36.40121334759476,E09000030,51.503992,-0.058151999999999995,E1 9NT
2.808480284586884,36.37294671140501,E09000030,51.504343,-0.058209000000000004,E1 9NU
2.8371764818233305,36.46166066407966,E09000030,51.504562,-0.05624,E1 9NX
2.8911471991846875,35.91415711981216,E09000030,51.504598,-0.06655599999999999,E1 9NY
2.8642352772770785,35.998493213241794,E09000030,51.504519,-0.06506100000000001,E1 9NZ
2.801499812796636,36.220511813139105,E09000030,51.504222999999996,-0.061255,E1 9PA
2.7869920110039987,36.42660264396505,E09000030,51.504142,-0.057469000000000006,E1 9PB
2.719327520902842,36.43569903155299,E09000030,51.503541,-0.058114,E1 9PD
2.726177468204095,36.364715963252756,E09000030,51.503598,-0.059378999999999994,E1 9PE
2.738590084842274,36.350913338769736,E09000030,51.503708,-0.059489999999999994,E1 9PF
2.943130382567635,36.39323445818688,E09000030,51.505516,-0.056242999999999994,E1 9PG
2.740201522787502,36.29682063632915,E09000030,51.503698,-0.060528,E1 9PH
2.710152087889254,36.24995970792554,E09000030,51.503370000000004,-0.061867,E1 9PJ
2.800654204344973,36.099194587551004,E09000030,51.504058,-0.063783,E1 9PL
2.748156431374766,36.20615617175391,E09000030,51.503690999999996,-0.06225700000000001,E1 9PN
2.6949672788856995,36.36055889660364,E09000030,51.503309,-0.059852999999999996,E1 9PP
2.770512981307998,36.30559722480748,E09000030,51.503986,-0.059967999999999994,E1 9PQ
2.685093733474598,36.476462690683896,E09000030,51.50323,-0.057767,E1 9PR
2.717725837780894,36.337377770600646,E09000030,51.50351,-0.060016999999999994,E1 9PS
2.9170512824076194,35.9731636641327,E09000030,51.50502,-0.06485199999999999,E1 9PT
2.865912530772533,36.322439763251055,E09000030,51.50486,-0.058461,E1 9PU
2.800654204344973,36.099194587551004,E09000030,51.504058,-0.063783,E1 9PW
2.8857263477006434,36.31384797843403,E09000030,51.505038,-0.058382,E1 9PX
2.8945564653990234,36.28696463547738,E09000030,51.505117,-0.05878200000000001,E1 9PY
2.8754318611210046,36.2822913349564,E09000030,51.504943,-0.05910599999999999,E1 9PZ
2.8409240087666885,36.31298332920316,E09000030,51.504634,-0.058946000000000005,E1 9QA
2.8051757444942913,36.33159968867681,E09000030,51.504312,-0.05903200000000001,E1 9QB
2.8738248797206274,36.154808045329865,E09000030,51.504858,-0.06163099999999999,E1 9QD
2.8295489684232478,36.29227143460096,E09000030,51.504526,-0.059484,E1 9QE
2.867630785077581,36.266124623139405,E09000030,51.504868,-0.059512999999999996,E1 9QF
2.922269368251024,36.23715401873486,E09000030,51.505361,-0.059391,E1 9QG
2.9479556343668674,36.20985943577797,E09000030,51.505589,-0.059597000000000004,E1 9QH
2.9752840926219264,35.9312018376563,E09000030,51.505542,-0.06493099999999999,E1 9QP
2.969828209592574,36.150178096686986,E09000030,51.505765999999994,-0.060483,E1 9QQ
2.974639018664498,36.112132186529166,E09000030,51.505786,-0.061174,E1 9QR
2.9444113879452325,36.236865773942824,E09000030,51.505563,-0.059123,E1 9QS
2.919084290447178,36.28309003695972,E09000030,51.505338,-0.058556,E1 9RL
2.8850556206983,36.3591372546843,E09000030,51.505025,-0.05754600000000001,E1 9RP
2.9439786045647387,36.334100274727646,E09000030,51.505551000000004,-0.057308000000000005,E1 9RS
2.983118293582599,36.28167557376017,E09000030,51.50591,-0.057811,E1 9RT
2.924176233451088,36.31450739125348,E09000030,51.505381,-0.05790599999999999,E1 9RW
2.8011133515817073,36.437384182984644,E09000030,51.504262,-0.057102999999999994,E1 9RX
2.7495850659142747,36.25407806946612,E09000030,51.503755,-0.06126,E1 9UP
2.9581403527326064,35.7811375242662,E09000030,51.504929,-0.068631,E1 9UR
2.8285173898522005,36.44471264381109,E09000030,51.504497,-0.056647,E1 9UU
2.935303974951283,35.98616026521635,E09000030,51.505235,-0.06431,E1 9UX
2.9474653194196017,36.02608968389559,E09000030,51.505425,-0.06329299999999999,E1 9UY
